LocationType,Location,TimeFrame,DataFormat,Data
State,Idaho,2008,Number,108000
State,Idaho,2008,Percent,0.26
State,Idaho,2009,Number,120000
State,Idaho,2009,Percent,0.29
State,Idaho,2010,Number,134000
State,Idaho,2010,Percent,0.31
State,Idaho,2011,Number,132000
State,Idaho,2011,Percent,0.31
State,Idaho,2012,Number,120000
State,Idaho,2012,Percent,0.28
State,Idaho,2013,Number,109000
State,Idaho,2013,Percent,0.26
State,Idaho,2014,Number,104000
State,Idaho,2014,Percent,0.24
State,Idaho,2015,Number,109000
State,Idaho,2015,Percent,0.25
State,Idaho,2016,Number,104000
State,Idaho,2016,Percent,0.24
State,Idaho,2017,Number,105000
State,Idaho,2017,Percent,0.24
State,Idaho,2018,Number,104000
State,Idaho,2018,Percent,0.23
State,Idaho,2019,Number,96000
State,Idaho,2019,Percent,0.21
State,Idaho,2021,Number,99000
State,Idaho,2021,Percent,0.21
