,zip_code,mean_income
0,98001,"102,586"
1,98002,"70,945"
2,98003,"76,753"
3,98004,"210,129"
4,98005,"186,020"
5,98006,"198,704"
6,98007,"130,345"
7,98008,"174,696"
8,98010,"139,437"
9,98011,"120,952"
10,98012,"134,098"
11,98014,"150,458"
12,98019,"165,136"
13,98020,"147,323"
14,98021,"158,593"
15,98022,"112,118"
16,98023,"100,910"
17,98024,"170,052"
18,98026,"126,738"
19,98027,"158,050"
20,98028,"138,209"
21,98029,"173,740"
22,98030,"86,624"
23,98031,"96,642"
24,98032,"82,428"
25,98033,"189,220"
26,98034,"127,177"
27,98036,"106,289"
28,98037,"94,567"
29,98038,"134,178"
30,98039,"336,340"
31,98040,"241,738"
32,98042,"127,396"
33,98043,"98,605"
34,98045,"138,706"
35,98047,"77,373"
36,98050,"210,549"
37,98051,"106,648"
38,98052,"165,241"
39,98053,"205,610"
40,98055,"93,734"
41,98056,"132,379"
42,98057,"80,233"
43,98058,"106,748"
44,98059,"146,436"
45,98065,"169,105"
46,98068,"115,761"
47,98070,"114,785"
48,98072,"160,771"
49,98074,"225,217"
50,98075,"232,234"
51,98077,"221,698"
52,98087,"97,649"
53,98092,"116,946"
54,98101,"124,205"
55,98102,"131,801"
56,98103,"134,281"
57,98104,"90,725"
58,98105,"133,295"
59,98106,"97,035"
60,98107,"136,986"
61,98108,"95,557"
62,98109,"138,804"
63,98110,"161,748"
64,98112,"216,581"
65,98115,"154,113"
66,98116,"151,980"
67,98117,"166,123"
68,98118,"115,645"
69,98119,"148,337"
70,98121,"141,701"
71,98122,"120,396"
72,98125,"103,336"
73,98126,"111,563"
74,98133,"95,334"
75,98134,"93,611"
76,98136,"147,330"
77,98144,"135,912"
78,98146,"98,981"
79,98148,"91,154"
80,98154,-
81,98155,"124,083"
82,98158,-
83,98164,"204,634"
84,98166,"124,377"
85,98168,"83,229"
86,98174,-
87,98177,"162,366"
88,98178,"111,015"
89,98188,"85,131"
90,98195,-
91,98198,"90,330"
92,98199,"172,243"
93,98201,"77,442"
94,98203,"94,711"
95,98204,"69,857"
96,98205,"108,169"
97,98207,-
98,98208,"103,537"
99,98220,"97,399"
100,98221,"100,495"
101,98222,"123,053"
102,98223,"99,533"
103,98224,"59,451"
104,98225,"69,554"
105,98226,"84,017"
106,98229,"94,968"
107,98230,"87,044"
108,98232,"113,717"
109,98233,"83,464"
110,98235,"48,207"
111,98236,"107,353"
112,98237,"75,194"
113,98238,N
114,98239,"86,760"
115,98240,"95,445"
116,98241,"60,266"
117,98243,"76,721"
118,98244,"64,895"
119,98245,"95,858"
120,98247,"75,152"
121,98248,"87,173"
122,98249,"108,916"
123,98250,"111,419"
124,98251,"77,733"
125,98252,"96,458"
126,98253,"84,853"
127,98255,"35,562"
