hr,holiday,workingday,humidity_percentage,windspeed,temperature_celsius,feels_like_temperature_celsius,bike_riders,date,day,month,dayofweek,datetimestamp,fall,spring,summer,winter,clear,heavy_rain_snow,light_rain_snow,mist_cloudy,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September
0,0,0,0.81,0,3.28,3.0014,16,2011-01-01 00:00:00,1,1,5,2011-01-01 00:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0.8,0,2.34,1.9982,40,2011-01-01 00:00:00,1,1,5,2011-01-01 01:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,0.8,0,2.34,1.9982,32,2011-01-01 00:00:00,1,1,5,2011-01-01 02:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0.75,0,3.28,3.0014,13,2011-01-01 00:00:00,1,1,5,2011-01-01 03:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0.75,0,3.28,3.0014,1,2011-01-01 00:00:00,1,1,5,2011-01-01 04:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0.75,6,3.28,1.0016,1,2011-01-01 00:00:00,1,1,5,2011-01-01 05:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0.8,0,2.34,1.9982,2,2011-01-01 00:00:00,1,1,5,2011-01-01 06:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0.86,0,1.4,1.0016,3,2011-01-01 00:00:00,1,1,5,2011-01-01 07:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0.75,0,3.28,3.0014,8,2011-01-01 00:00:00,1,1,5,2011-01-01 08:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0.76,0,7.04,7.001,14,2011-01-01 00:00:00,1,1,5,2011-01-01 09:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0.76,17,9.86,9.9974,36,2011-01-01 00:00:00,1,1,5,2011-01-01 10:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,0,0.81,19,8.92,5.9978,56,2011-01-01 00:00:00,1,1,5,2011-01-01 11:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,0,0.77,19,11.74,11.9972,84,2011-01-01 00:00:00,1,1,5,2011-01-01 12:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,0,0,0.72,20,13.62,13.997,94,2011-01-01 00:00:00,1,1,5,2011-01-01 13:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0.72,19,13.62,13.997,106,2011-01-01 00:00:00,1,1,5,2011-01-01 14:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,0,0,0.77,20,12.68,13.0004,110,2011-01-01 00:00:00,1,1,5,2011-01-01 15:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
