zipcode,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
98001,16.18,1175.72,378.94,255.89
98002,15.31,1061.13,424.05,263.15
98003,17.35,1241.23,393.2,274.01
98004,-10.87,1876.5,473.89,273.74
98005,-0.55,1646.14,467.74,288.62
98006,8.29,1930.56,456.35,301.55
98007,9.45,1588.84,516.5,328.07
98008,9.3,2089.6,517.23,334.08
98010,13.57,359.75,0.0,241.59
98011,13.58,1428.69,451.27,295.72
98012,15.52,1324.83,407.52,281.02
98014,11.34,946.76,433.63,258.44
98019,14.17,614.22,416.05,256.54
98020,12.88,1648.26,446.48,298.54
98021,15.23,1553.23,443.53,299.86
98022,15.32,1149.13,390.91,255.92
98023,16.22,1271.45,372.36,264.66
98024,14.66,722.43,439.64,262.04
98026,14.48,1705.17,419.22,287.93
98027,11.81,1547.21,424.96,275.8
98028,12.97,1322.19,471.44,292.06
98029,4.32,687.98,404.89,280.1
98030,14.67,989.54,364.36,252.81
98031,17.03,1278.01,377.48,262.39
98032,14.62,1040.58,398.81,264.73
98033,5.99,2161.28,536.61,318.82
98034,12.37,2053.31,490.05,320.14
98036,15.72,1585.0,426.03,287.75
98037,16.32,1457.72,405.63,282.58
98038,14.75,1140.6,391.43,254.48
98039,0.0,0.0,0.0,0.0
98040,1.96,2002.48,407.63,230.18
98042,17.05,1216.78,384.09,255.74
98043,15.06,1671.74,460.23,304.35
98045,13.69,1528.66,438.4,269.11
98047,17.2,411.46,411.46,263.74
98051,15.62,574.34,389.37,224.55
98052,8.18,1988.39,493.01,318.29
98053,12.11,955.72,438.91,269.22
98055,14.28,1164.23,395.65,266.2
98056,14.57,1282.51,445.4,277.7
98057,13.28,694.97,443.76,267.57
98058,16.29,1276.09,399.83,272.33
98059,14.93,1625.18,421.23,274.54
98065,12.94,436.74,0.0,264.34
98068,25.84,265.53,0.0,0.0
98070,13.33,411.39,411.39,260.82
98072,13.33,1629.43,438.74,282.07
98074,9.82,1261.78,427.57,292.94
98075,9.2,1522.52,418.71,269.62
98077,12.66,1357.48,414.94,268.91
98087,15.08,1285.34,422.75,282.46
98092,16.4,1170.48,364.26,247.96
98102,2.41,842.79,442.35,262.81
98103,5.11,2317.78,537.29,293.5
98105,4.46,2751.9,502.77,281.75
98106,9.75,1467.59,540.4,316.47
98107,7.29,2041.55,600.07,317.93
98108,10.2,1338.5,575.02,309.94
98109,0.9,1441.22,538.68,277.88
98110,10.25,1075.35,436.97,261.86
98112,2.24,1894.17,521.0,268.0
98115,8.01,2355.72,503.62,293.32
98116,5.44,2213.57,489.15,271.53
98117,8.18,2345.21,545.24,309.96
98118,8.9,1607.47,558.89,296.08
98119,2.98,1934.18,493.57,272.58
98122,4.66,1784.67,623.99,293.67
98125,9.05,1985.76,475.04,296.13
98126,8.1,1652.4,517.13,299.83
98133,12.86,1797.85,474.63,308.08
98136,7.89,1993.73,469.99,278.22
98144,6.57,2041.57,598.01,303.53
98146,12.18,1658.83,466.74,290.65
98148,14.48,695.52,427.8,277.32
98155,12.59,1919.8,455.87,298.92
98166,10.62,1440.54,411.32,266.62
98168,13.58,1332.52,478.59,284.12
98177,10.78,1744.25,431.47,282.71
98178,11.76,1324.3,466.34,274.12
98188,13.33,1176.36,435.82,273.73
98198,15.42,1276.01,404.83,264.99
98199,6.54,1928.59,471.29,273.12
98201,14.88,1421.46,443.43,280.89
98203,16.09,1353.97,401.57,275.32
98204,15.19,1056.44,408.43,265.29
98208,17.83,1312.59,407.21,284.25
98220,17.41,220.35,0.0,0.0
98221,12.92,1092.3,435.26,260.46
98223,15.85,1051.94,392.67,253.97
98225,13.19,1935.08,554.35,358.01
98226,15.27,1161.65,436.62,303.19
98229,14.64,1214.65,419.59,310.47
98230,14.33,605.42,450.31,294.04
98232,12.09,286.48,0.0,257.46
98233,14.87,399.9,0.0,266.8
98236,11.02,594.61,365.34,244.91
98237,10.85,252.09,0.0,274.19
98239,16.14,609.73,419.84,266.71
98240,11.84,375.14,0.0,269.24
98241,25.17,254.39,0.0,0.0
98244,17.01,410.66,0.0,298.26
98245,12.83,221.37,0.0,0.0
98247,13.06,573.65,424.97,281.51
98248,15.7,1003.74,419.12,294.21
98249,12.98,632.03,383.6,258.47
98250,14.21,296.78,0.0,217.65
98251,16.41,367.4,0.0,259.93
98252,16.79,631.32,395.65,253.41
98253,6.82,338.47,0.0,258.23
98257,17.23,303.67,0.0,244.52
98258,16.71,1121.74,383.01,264.04
98260,18.39,719.98,408.89,274.93
98261,15.41,185.06,0.0,0.0
98262,17.06,320.54,0.0,264.55
98264,13.52,780.33,427.16,286.0
98266,21.04,309.58,0.0,0.0
98270,17.09,1263.98,370.52,261.62
98271,18.76,1222.42,401.88,266.26
98272,15.42,949.39,409.36,254.95
98273,16.15,1078.09,404.09,266.52
98274,14.15,1113.74,390.5,254.67
98275,14.13,659.95,374.51,263.86
98276,15.15,347.65,0.0,314.13
98277,12.77,1047.1,389.53,250.81
98281,17.17,277.33,0.0,276.87
98282,14.13,601.77,385.33,258.45
98284,13.18,895.84,451.9,256.92
98290,15.59,1357.75,406.7,259.97
98292,14.2,786.14,409.49,257.1
